,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Divinity Seven♻️🏥,"Las Vegas, NV","UNLV BS Public Administration, M.Ed, USC MSW, Clinical Military, Medical Clinical SW, Co-Founder of Remy Premier Health & Wellness #AllInClarkCounty♻️🏥",False,2022-08-08 22:40:57+00:00,RT @FDAfood: Consumers and healthcare professionals can now find new materials about #GMOs on our #FeedYourMind website: https://t.co/Q0wl2…,"['GMOs', 'FeedYourMind']",Twitter for iPhone
1,Marco Pino,Panamá,"Promovamos valores en nuestra sociedad, paz y justicia social; desarrollo humano sostenible; salud pública; seguridad y soberanía alimentaria",False,2022-08-08 19:36:54+00:00,RT @FDAfood: Consumers and healthcare professionals can now find new materials about #GMOs on our #FeedYourMind website: https://t.co/Q0wl2…,"['GMOs', 'FeedYourMind']",Twitter for Android
2,FDA_ORA,,Get the latest information from FDA’s Office of Regulatory Affairs.,True,2022-08-08 19:30:12+00:00,RT @FDAfood: Consumers and healthcare professionals can now find new materials about #GMOs on our #FeedYourMind website: https://t.co/Q0wl2…,"['GMOs', 'FeedYourMind']",Twitter for iPhone
3,FDA FOOD (Ctr for Food Safety & Applied Nutrition),"College Park, MD","The latest on food safety, outbreaks, recalls, nutrition, additives & supplements from U.S. FDA. Retweets ≠ endorsement. Privacy Policy: https://t.co/KDg7YjylZO",True,2022-08-08 18:51:00+00:00,Consumers and healthcare professionals can now find new materials about #GMOs on our #FeedYourMind website: https://t.co/Q0wl2AGYao https://t.co/vdON7zDnOA,"['GMOs', 'FeedYourMind']",Twitter Web App
4,Dirt To Dinner,"Connecticut, USA","Providing you with a better understanding of food...because FOOD MATTERS! 
#unitedbyfood #agriculture #farming #food #GMO",False,2022-08-08 18:45:01+00:00,The message from the mainstream scientific and food security communities seems clear: #CRISPR and #GMOs can help us create the optimal food system. We want our food system to do far more than simply feed us. Learn more below! https://t.co/RybUtAweAl,"['CRISPR', 'GMOs']",Sprout Social
5,Marco Pino,Panamá,"Promovamos valores en nuestra sociedad, paz y justicia social; desarrollo humano sostenible; salud pública; seguridad y soberanía alimentaria",False,2022-08-08 17:41:39+00:00,"RT @FDAfood: Multiple federal agencies regulate #GMOs to make sure they are safe. 
Watch here: https://t.co/nTov6TLWL6
https://t.co/1CUX8ys…",['GMOs'],Twitter for Android
6,Divinity Seven♻️🏥,"Las Vegas, NV","UNLV BS Public Administration, M.Ed, USC MSW, Clinical Military, Medical Clinical SW, Co-Founder of Remy Premier Health & Wellness #AllInClarkCounty♻️🏥",False,2022-08-08 17:35:45+00:00,"RT @FDAfood: Multiple federal agencies regulate #GMOs to make sure they are safe. 
Watch here: https://t.co/nTov6TLWL6
https://t.co/1CUX8ys…",['GMOs'],Twitter for iPhone
7,FDA_ORA,,Get the latest information from FDA’s Office of Regulatory Affairs.,True,2022-08-08 16:44:14+00:00,"RT @FDAfood: Multiple federal agencies regulate #GMOs to make sure they are safe. 
Watch here: https://t.co/nTov6TLWL6
https://t.co/1CUX8ys…",['GMOs'],TweetDeck Web App
8,"Kathy Roddy, Girly Swot 🕷","Kent,UK","Once a librarian (always a librarian). Philosopher. Loves books, cats, veg food, meditation, buddhist ethics. Learning to draw",False,2022-08-08 16:34:51+00:00,RT @GMWatch: Only a minority of countries support deregulation of new #GMOs. Leading the charge are the main #GMO producing countries: the…,"['GMOs', 'GMO']",Twitter for iPad
9,ACS DCHAS,,Div of Chemical Health and Safety of the American Chemical Society reporting chemical events to raise awareness. #ChemicalSafety,False,2022-08-08 16:25:33+00:00,RT @EPAChemSafety: What does @EPA do about #GMOs? We regulate the safety of the substances that act as pesticides in #GMO plants. We also r…,"['GMOs', 'GMO']",Twitter for iPad
